Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,72.5,-79.3,180.0,top
C5,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,72.5,-87.3,0.0,top
C6,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,72.5,-90.5,180.0,top
C7,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,95.1,-102.3,180.0,top
C9,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.2,-103.5,180.0,top
C10,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,56.6,-56.2,0.0,top
C13,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,59.6,-80.9,0.0,top
C14,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,86.5,-80.9,0.0,top
C15,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.4,-79.3,180.0,top
C16,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.4,-87.3,0.0,top
C17,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.4,-90.5,180.0,top
C18,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.4,-63.7,0.0,top
C20,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,86.5,-129.8,0.0,top
C21,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.4,-128.2,180.0,top
C22,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.4,-136.2,0.0,top
C23,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.4,-139.4,180.0,top
C24,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.4,-112.6,0.0,top
C26,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,59.6,-129.8,0.0,top
C27,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,72.5,-128.2,180.0,top
C28,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,72.5,-136.2,0.0,top
C29,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,72.5,-139.4,180.0,top
C30,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,72.5,-112.6,0.0,top
C32,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,65.8,-101.5,180.0,top
C33,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,59.6,-75.9,180.0,top
C34,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,59.6,-68.5,180.0,top
C35,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,86.5,-75.9,180.0,top
C36,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,86.5,-68.5,180.0,top
C37,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,59.6,-124.8,180.0,top
C38,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,59.6,-117.4,180.0,top
C39,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,86.5,-124.8,180.0,top
C40,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,86.5,-117.4,180.0,top
C41,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,72.5,-63.7,0.0,top
R1,14k,R_0603_1608Metric,76.2,-105.1,0.0,top
R2,14k,R_0603_1608Metric,76.2,-106.7,0.0,top
R3,14k,R_0603_1608Metric,76.2,-108.3,0.0,top
